FID	IID	SEX
HG02373	HG02373	1
HG02374	HG02374	1
HG02375	HG02375	1
HG02379	HG02379	1
HG02380	HG02380	1
HG02382	HG02382	1
HG02383	HG02383	1
HG02384	HG02384	1
HG02385	HG02385	1
HG02386	HG02386	1
HG02389	HG02389	1
HG02390	HG02390	1
HG02391	HG02391	1
HG02392	HG02392	1
HG02394	HG02394	1
HG02395	HG02395	1
HG02396	HG02396	1
HG02397	HG02397	1
HG02398	HG02398	1
HG02399	HG02399	1
HG02401	HG02401	1
HG02402	HG02402	1
HG02406	HG02406	1
HG02407	HG02407	1
HG02408	HG02408	1
HG02409	HG02409	1
HG02410	HG02410	1
HG02419	HG02419	2
HG02420	HG02420	1
HG02425	HG02425	2
HG02427	HG02427	2
HG02429	HG02429	1
HG02433	HG02433	1
HG02439	HG02439	1
HG02442	HG02442	1
HG02445	HG02445	1
HG02449	HG02449	1
HG02450	HG02450	2
HG02455	HG02455	1
HG02461	HG02461	1
HG02462	HG02462	2
HG02464	HG02464	1
HG02465	HG02465	2
HG02470	HG02470	1
HG02471	HG02471	2
HG02476	HG02476	2
HG02477	HG02477	2
HG02479	HG02479	2
HG02481	HG02481	1
HG02484	HG02484	1
HG02485	HG02485	2
HG02489	HG02489	1
HG02490	HG02490	1
HG02491	HG02491	2
HG02493	HG02493	1
HG02494	HG02494	2
HG02496	HG02496	1
HG02497	HG02497	2
HG02501	HG02501	1
HG02502	HG02502	2
HG02505	HG02505	2
HG02508	HG02508	2
HG02511	HG02511	2
HG02512	HG02512	1
HG02513	HG02513	2
HG02521	HG02521	1
HG02522	HG02522	2
HG02536	HG02536	1
HG02537	HG02537	2
HG02541	HG02541	1
HG02545	HG02545	1
HG02546	HG02546	2
HG02549	HG02549	2
HG02554	HG02554	1
HG02555	HG02555	2
HG02557	HG02557	1
HG02558	HG02558	2
HG02561	HG02561	1
HG02562	HG02562	2
HG02568	HG02568	2
HG02570	HG02570	1
HG02571	HG02571	2
HG02573	HG02573	1
HG02574	HG02574	2
HG02577	HG02577	2
HG02580	HG02580	2
HG02582	HG02582	1
HG02583	HG02583	2
HG02585	HG02585	1
HG02586	HG02586	2
HG02588	HG02588	1
HG02589	HG02589	2
HG02594	HG02594	1
HG02595	HG02595	2
HG02597	HG02597	1
HG02600	HG02600	1
HG02601	HG02601	2
HG02603	HG02603	1
HG02604	HG02604	2
HG02610	HG02610	1
HG02611	HG02611	2
HG02613	HG02613	1
HG02614	HG02614	2
HG02620	HG02620	1
HG02621	HG02621	2
HG02623	HG02623	1
HG02624	HG02624	2
HG02628	HG02628	1
HG02629	HG02629	2
HG02634	HG02634	1
HG02635	HG02635	2
HG02642	HG02642	1
HG02643	HG02643	2
HG02645	HG02645	1
HG02646	HG02646	2
HG02648	HG02648	1
HG02649	HG02649	2
HG02651	HG02651	1
HG02652	HG02652	2
HG02654	HG02654	1
HG02655	HG02655	2
HG02657	HG02657	1
HG02658	HG02658	2
HG02660	HG02660	1
HG02661	HG02661	2
HG02666	HG02666	1
HG02667	HG02667	2
HG02675	HG02675	1
HG02676	HG02676	2
HG02678	HG02678	1
HG02679	HG02679	2
HG02681	HG02681	1
HG02682	HG02682	2
HG02684	HG02684	1
HG02685	HG02685	2
HG02687	HG02687	1
HG02688	HG02688	2
HG02690	HG02690	1
HG02691	HG02691	2
HG02694	HG02694	2
HG02696	HG02696	1
HG02697	HG02697	2
HG02699	HG02699	1
HG02700	HG02700	2
HG02702	HG02702	1
HG02703	HG02703	2
HG02715	HG02715	1
HG02716	HG02716	2
HG02721	HG02721	1
HG02722	HG02722	2
HG02724	HG02724	1
HG02725	HG02725	2
HG02727	HG02727	1
HG02728	HG02728	2
HG02731	HG02731	2
HG02733	HG02733	1
HG02734	HG02734	2
HG02736	HG02736	1
HG02737	HG02737	2
HG02756	HG02756	1
HG02757	HG02757	2
HG02759	HG02759	1
HG02760	HG02760	2
HG02763	HG02763	2
HG02768	HG02768	1
HG02769	HG02769	2
HG02771	HG02771	1
HG02772	HG02772	2
HG02774	HG02774	1
HG02775	HG02775	2
HG02778	HG02778	2
HG02780	HG02780	1
HG02783	HG02783	1
HG02784	HG02784	2
HG02786	HG02786	1
HG02787	HG02787	2
HG02789	HG02789	1
HG02790	HG02790	2
HG02792	HG02792	1
HG02793	HG02793	2
HG02798	HG02798	1
HG02799	HG02799	2
HG02804	HG02804	1
HG02805	HG02805	2
HG02807	HG02807	1
HG02808	HG02808	2
HG02810	HG02810	1
HG02811	HG02811	2
HG02813	HG02813	1
HG02814	HG02814	2
HG02816	HG02816	1
HG02817	HG02817	2
HG02819	HG02819	1
HG02820	HG02820	2
HG02836	HG02836	1
HG02837	HG02837	2
HG02839	HG02839	1
HG02840	HG02840	2
HG02851	HG02851	1
HG02852	HG02852	2
HG02854	HG02854	1
HG02855	HG02855	2
HG02860	HG02860	1
HG02861	HG02861	2
HG02870	HG02870	2
HG02878	HG02878	1
HG02879	HG02879	2
HG02881	HG02881	1
HG02882	HG02882	2
HG02884	HG02884	1
HG02885	HG02885	2
HG02887	HG02887	1
HG02888	HG02888	2
HG02890	HG02890	1
HG02891	HG02891	2
HG02895	HG02895	1
HG02896	HG02896	2
HG02922	HG02922	2
HG02923	HG02923	1
HG02938	HG02938	1
HG02941	HG02941	1
HG02943	HG02943	2
HG02944	HG02944	1
HG02946	HG02946	2
HG02947	HG02947	1
HG02952	HG02952	2
HG02953	HG02953	1
HG02968	HG02968	1
HG02970	HG02970	2
HG02971	HG02971	1
HG02973	HG02973	1
HG02974	HG02974	2
HG02976	HG02976	2
HG02977	HG02977	1
HG02979	HG02979	2
HG02981	HG02981	1
HG02982	HG02982	1
HG02983	HG02983	2
HG03006	HG03006	1
HG03007	HG03007	2
HG03009	HG03009	1
HG03012	HG03012	1
HG03015	HG03015	1
HG03016	HG03016	2
HG03018	HG03018	1
HG03019	HG03019	2
HG03021	HG03021	1
HG03022	HG03022	2
HG03024	HG03024	1
HG03025	HG03025	2
HG03027	HG03027	1
HG03028	HG03028	2
HG03039	HG03039	1
HG03040	HG03040	2
